BoroughID,Age_0_5,Age_15_44,Age_45_64,Age_65_999,Age_6_14,1HH,2HH,3HH,4HH,5HH
1,1068,10074,5429,3432,1097,8138,2691,1014,648,212
2,2760,27656,12786,5807,2635,19962,6462,2456,1550,567
3,2403,29796,10928,6223,2052,21916,6428,2065,1331,465
4,3661,33562,15792,11507,4005,24501,9127,3352,2346,860
5,3759,29258,15887,8629,3823,21169,8070,3266,2258,790
6,2326,19899,10650,5827,2281,14690,5795,2151,1328,496
7,3605,26609,14564,10800,4065,18078,8201,3260,2370,995
8,1613,14971,7531,3639,1989,10261,3818,1523,1107,429
9,5964,44966,25037,16480,6367,31998,13449,5319,3720,1353
10,3223,23495,13767,9834,3904,14438,7506,3101,2324,975
11,4296,36105,17931,11605,5157,20399,9247,4091,2913,1476
12,4701,38121,18099,11610,5405,21796,9385,4013,2947,1387
13,5426,35392,22814,17848,6470,23804,12315,5117,3847,1440
14,3017,19992,11919,7865,3305,13452,6243,2566,1862,797
15,4913,28492,20827,11237,7737,13655,9201,4736,4079,1793
16,7036,46463,30320,22937,9571,27884,15931,6865,5075,2501
17,3266,26063,13390,8172,3365,17587,7188,2960,1954,780
18,2921,22544,14173,10160,3386,18214,7216,2869,1983,668
19,5866,39077,24704,20185,6882,26057,13589,5548,3989,1499
20,2612,20339,12491,10913,3543,11840,6974,2898,2210,823
21,4556,28923,20652,14366,6128,18190,10167,4438,3614,1317
22,3399,19271,11974,9120,4049,9428,6485,3000,2373,1083
23,2090,12836,9318,6233,2878,6475,4584,2143,1765,668
24,3854,24781,16400,11207,5532,13247,7861,3849,3085,1430
25,2966,25852,13867,10629,3232,19171,7922,2904,1917,739
