BoroughID,Borough,Postcode,Surface,Lon,Lat
23,Allach-Untermenzing,80995,24.212033,11.514590486218614,48.216248219434895
23,Allach-Untermenzing,80997,10.930906,11.48286410118261,48.19077871164387
23,Allach-Untermenzing,80999,8.413684,11.451908761621723,48.19123944450616
23,Allach-Untermenzing,81247,4.93824,11.470418003227662,48.16662130149467
23,Allach-Untermenzing,81249,26.859298,11.39709184714226,48.1704715336831
1,Altstadt-Lehel,80331,0.783536,11.570982261637388,48.135276208093806
1,Altstadt-Lehel,80333,1.616001,11.568538825489401,48.144915664273
1,Altstadt-Lehel,80335,1.694507,11.554154530753017,48.14358629335317
1,Altstadt-Lehel,80336,1.578994,11.552986926338054,48.132913714886676
1,Altstadt-Lehel,80469,1.22246,11.57116063688773,48.12820212754414
1,Altstadt-Lehel,80538,2.069073,11.59111645673698,48.148061617789544
1,Altstadt-Lehel,80539,0.831709,11.581698586640123,48.14513698709193
5,Au-Haidhausen,81541,2.253323,11.586275350614471,48.12031352984184
5,Au-Haidhausen,81543,2.943451,11.566505504902981,48.11385774687034
5,Au-Haidhausen,81667,1.207743,11.601472247064214,48.12908418345991
5,Au-Haidhausen,81669,1.659903,11.608264889905241,48.11437950231713
5,Au-Haidhausen,81671,2.256578,11.615024673791615,48.12151330644701
5,Au-Haidhausen,81675,1.612379,11.598411005448504,48.13906996312261
5,Au-Haidhausen,81677,3.227889,11.62212387838661,48.1400625363206
22,Aubing-Lochhausen-Langwied,81243,3.920641,11.436527299958044,48.14623582293471
22,Aubing-Lochhausen-Langwied,81245,8.911792,11.438696090982956,48.16408420657325
22,Aubing-Lochhausen-Langwied,81249,26.859298,11.39709184714226,48.1704715336831
14,Berg am Laim,81671,2.256578,11.615024673791615,48.12151330644701
14,Berg am Laim,81673,2.828008,11.631475307448238,48.12829710433965
14,Berg am Laim,81735,3.727785,11.638020384143388,48.111798931237274
14,Berg am Laim,81825,4.968777,11.660542017616836,48.11782933328124
13,Bogenhausen,81675,1.612379,11.598411005448504,48.13906996312261
13,Bogenhausen,81677,3.227889,11.62212387838661,48.1400625363206
13,Bogenhausen,81679,1.571465,11.611213425627877,48.14695799275221
13,Bogenhausen,81925,4.338553,11.620741887348155,48.16159679990051
13,Bogenhausen,81927,3.548678,11.637396817055368,48.16115149454069
13,Bogenhausen,81929,12.77841,11.661055018559404,48.16076528187692
24,Feldmoching-Hasenbergl,80933,1.899109,11.55739958767376,48.21618782028368
24,Feldmoching-Hasenbergl,80935,3.69948,11.553321586349988,48.19875003405202
24,Feldmoching-Hasenbergl,80995,24.212033,11.514590486218614,48.216248219434895
20,Hadern,80689,3.666933,11.483788997603243,48.132144791241416
20,Hadern,81375,3.095706,11.485236091904614,48.11877043962244
20,Hadern,81377,6.776472,11.4856994237067,48.10491002149543
25,Laim,80686,2.790337,11.510826195099394,48.13015278101766
